1;;;;;;;;
100;2800;3313;3826;4339;4852;5365;5878;
316;27807;35323;39081;42839;46597;54113;57871;
612;73719;89953;98070;106187;114304;130538;138655;
618;44579;68413;80330;92247;104164;127998;139915;
624;38584;45264;48604;51944;55284;61964;65304;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;728;728;728;728;728;728;728;
6424;520;520;520;520;520;520;520;

13;;;;;;;;
;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;
21;0;0;0;0;0;0;0;
41;5536;7457;10033;12631;15229;16749;19347;
43;3360;4548;5736;6924;8112;9300;10488;
77;7;7;7;7;7;7;7;
80;0;0;0;0;0;0;0;
81;3268;5155;7836;10764;13692;15845;18773;
83;2148;2544;2940;3336;3732;4128;4524;
100;926;1321;1716;2111;2506;2901;3296;
316;112098;122614;133130;138388;143646;154162;159420;
612;66445;83689;100933;109555;118177;135421;144043;
618;84463;111653;138843;152438;166033;193223;206818;
624;35502;42814;50126;53782;57438;64750;68406;
3416;54;54;54;54;54;54;54;
6412;0;0;0;0;0;0;0;
6418;170;170;170;170;170;170;170;
6424;115;115;115;115;115;115;115;

14;;;;;;;;
;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;
21;0;0;0;0;0;0;0;
41;1391;1391;1391;1391;1391;1391;1391;
43;0;0;0;0;0;0;0;
77;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;
81;750;750;750;750;750;750;750;
83;0;0;0;0;0;0;0;
100;500;500;500;500;500;500;500;
316;4756;4756;4756;4756;4756;4756;4756;
612;4800;4800;4800;4800;4800;4800;4800;
618;4083;4083;4083;4083;4083;4083;4083;
624;3642;3642;3642;3642;3642;3642;3642;
3416;0;0;0;0;0;0;0;
6412;0;0;0;0;0;0;0;
6418;0;0;0;0;0;0;0;
6424;0;0;0;0;0;0;0;

